file,line,size,real-size,type,subtype,name,heap?,id,total free,hex address,sum_alloc,actual_sum_alloc
tag_files\string_ids.cpp,147,4186112,4186196,,,,h,2,536870912,00000000219FB040,4186112,4186196
tag_files\string_ids.cpp,150,26163200,26163284,,,,h,3,536870912,0000000021E07040,30349312,30349480
tag_files\tag_groups.cpp,5852,32,116,bs codes,short_block,,h,6,536870912,000000001D0FA7F0,30349344,30349596
tag_files\tag_groups.cpp,5852,64,148,bs codes,mapping_function,,h,7,536870912,000000001D0B1680,30349408,30349744
tag_files\tag_groups.cpp,5852,32,116,bs codes,byte_block,,h,8,536870912,000000001D0F9670,30349440,30349860
tag_files\tag_groups.cpp,5852,48,132,bs codes,function_definition_fields_v2,,h,9,536870912,000000001D0C33F0,30349488,30349992
tag_files\tag_groups.cpp,5852,32,116,bs codes,real_block,,h,10,536870912,000000001D0FACF0,30349520,30350108
tag_files\tag_groups.cpp,5852,112,196,bs codes,function_definition_fields_v1,,h,11,536870912,000000001D0FF020,30349632,30350304
tag_files\tag_groups.cpp,5852,72,156,bs codes,render_method_animated_parameter_block,,h,12,536870912,000000001D0C4CD0,30349704,30350460
tag_files\tag_groups.cpp,5852,176,260,bs codes,render_method_parameter_block,,h,13,536870912,000000001D0BA690,30349880,30350720
tag_files\tag_groups.cpp,5852,32,116,bs codes,tag_block_index_struct,,h,14,536870912,000000001D0F96F0,30349912,30350836
tag_files\tag_groups.cpp,5852,136,220,bs codes,render_method_postprocess_texture_block,,h,15,536870912,000000001D0E9FE0,30350048,30351056
tag_files\tag_groups.cpp,5852,56,140,bs codes,real_vector4d_block,,h,16,536870912,000000001D0B1720,30350104,30351196
tag_files\tag_groups.cpp,5852,32,116,bs codes,int_block,,h,17,536870912,000000001D0FAB70,30350136,30351312
tag_files\tag_groups.cpp,5852,40,124,bs codes,tag_block_index_block,,h,18,536870912,000000001D0C2EE0,30350176,30351436
tag_files\tag_groups.cpp,5852,48,132,bs codes,render_method_postprocess_pass_block,,h,19,536870912,000000001D0C2310,30350224,30351568
tag_files\tag_groups.cpp,5852,48,132,bs codes,render_method_routing_info_block,,h,20,536870912,000000001D0C37E0,30350272,30351700
tag_files\tag_groups.cpp,5852,32,116,bs codes,runtime_queryable_properties,,h,21,536870912,000000001D0F9770,30350304,30351816
tag_files\tag_groups.cpp,5852,64,148,bs codes,constant_buffer_descriptor_struct,,h,22,536870912,000000001D1086E0,30350368,30351964
tag_files\tag_groups.cpp,5852,48,132,bs codes,constant_buffers_block,,h,23,536870912,000000001D0C24C0,30350416,30352096
tag_files\tag_groups.cpp,5852,40,124,bs codes,constant_buffer_indices_block,,h,24,536870912,000000001D0C2700,30350456,30352220
tag_files\tag_groups.cpp,5852,72,156,bs codes,constant_buffer_resource_definition_struct,,h,25,536870912,000000001D0C4E30,30350528,30352376
tag_files\tag_groups.cpp,5852,312,396,bs codes,render_method_postprocess_block,,h,26,536870912,000000001D108A80,30350840,30352772
tag_files\tag_groups.cpp,5852,168,252,bs codes,render_method_struct_definition,,h,27,536870912,000000001D0BA7A0,30351008,30353024
tag_files\tag_groups.cpp,5852,40,124,bs codes,shader_contrail_struct_definition,,h,28,536870912,000000001D0C3360,30351048,30353148
